x,y
0, 0
0, 2
0, 4
0, 6
0, 8
0, 10
0, 12
0, 14
0, 16
0, 18
0, 20
0, 22
0, 24
0, 26
-2, 26
-4, 26
-4, 28
-4, 30
-4, 32
-4, 34
-4, 36
-4, 38
-4, 40
-4, 42
-2, 42
0, 42
2, 42
4, 42
6, 42
8, 42
10, 42
12, 42
14, 42
16, 42
18, 42
20, 42
22, 42
22, 40
22, 38
22, 36
22, 34
22, 32
22, 30
22, 28
22, 26
22, 24
22, 22
22, 20
22, 18
22, 16
22, 14
22, 12
22, 10
22, 8
24, 8
26, 8
28, 8
30, 8
32, 8
34, 8
36, 8
38, 8
40, 8
42, 8
44, 8
46, 8
48, 8
50, 8
50, 10
50, 12
50, 14
50, 16
50, 18
50, 20
50, 22
50, 24
50, 26
50, 28
50, 30
